Address,Postal_code,Description,Price,Square_feet,Beds,Baths,Date_Added,Year_built,Neighbourhood,Type_of_home,Area_of_city,Lot_info
"26 Somerside Place SW, Calgary, Alb",T2Y3V3,"This is an excellent opportunity listed far below assessment value. This very well located house in a cul-de-sac with a fully finished walk out basement and private backyard with detached double garage. Price much lower cause the house needs some TLC due to wear and tear by bad tenants. This house will come with a new roof installed in spring already been paid for by the owners.  The front entrance, kitchen and dining areas have ceramic tile, there is a two sided fire place, oak cabinets, and a den on the main level, and deck off the eating area. An added bonus is the fully developed walk out basement (with small kitchen) - perfect for rental income or an illegal in-law suite. The upper kitchen comes with brand new fridge and newer stove. The upper floor has master with 4- piece on suite bathroom and two more bedrooms with another 4 piece bathroom.  Close to the Somerset Water Park, shops, transit and tennis courts this home has it all.",398888,1488,5,3,15-Jan-18,1999,Somerset,Residential,Southwest Calgary,403.00m x 0.00m
"495 78 Ave SW, Calgary, Alb",T2V5K5,"First time on the market: this 2 bedroom + den condo in the desirable Stratfrod on the Park!! Listed by its original owners, this apartment home has been well maintained and shows great. 2 spacious bedrooms with 2 full baths and den, kitchen with ample cupboard space and a living room with gas fireplace complement each other to create a perfect living space at this amazing adult-only building. Backing onto the green space and conveniently located close to LRT, shopping and other inner-city amenities this condo makes a perfect home for a first-time buyer and a great investment. The apartments in this building don't come on the market very often, so book your showing today to take advantage of this great opportunity.",326000,1248,2,2,10-Jan-18,2000,Kingsland,Residential,Southwest Calgary,403.00m x 0.00m
"71 Chisholm Cres NW, Calgary, Alb",T2L0Y9,"This gorgeous 4 bed bungalow has been extensively renovated and is located on a quiet crescent in the highly sought after community of Charleswood. The main floor consists of hardwood floors, a vaulted open beam ceiling, plus brand new doors and windows through-out. The spacious kitchen has been completing upgraded with new cabinets, a large center island and is conveniently located next to the separate dining area. Three bedrooms and a remodelled 4pc bath complete the main level. Downstairs you will find an oversized family room, 4th bedroom, plus a 3pc bath and huge hobby room (that could easily be converted into a second kitchen). Additional bonuses include: New shingles, exterior siding with foil bubble insulation, soffits and tin cladding. Out back you will find an oversized Triple detached garage (36'x22') plus a front drive carport and large driveway for additional parking. Located close to schools, shops, city transit and easy access to main roadways.",679900,1248,4,2,03-Jan-18,1959,Charleswood,Residential,Northwest Calgary,16.50m x 30.40m
"104 Pump Hill Dr SW, Calgary, Alb",T2V4C7,"Beautifully renovated, immaculate, 4 bedroom executive home in sought after Pump Hill. Many unique architectural details in this custom home. Luxurious upgrades include kitchen, bathrooms and flooring. Gourmet kitchen with extended height rich wood cabinetry, granite, top of the line appliances, walk-in pantry and breakfast bar. Spacious living room with 10 ft. open beam ceiling and dramatic stone faced fireplace. Family sized dining room with hardwood floors. Huge family room with vaulted ceiling, built-ins and cozy gas fireplace. Laundry, powder room and main floor office are conveniently located off the back entry. The 4 bedrooms up are all a good size including the king size master with huge walk-in closet and spaÃ‚Â¬-like en-suite with steam shower and heated floors. The lower level is completely developed and includes a media room with wet bar, a charming wine cellar plus a 3 piece bath with sauna, change room and hot tub. Situated on a large private park-like lot with a 2 tiered deck. Close to schools, transit, shopping, Southland Leisure Centre & easy access to downtown",949900,2630,4,4,12-Jan-18,1974,PumpHill,Residential,Southwest Calgary,19.60ft x 0.00ft
"104 Pump Hill Dr SW, Calgary, Alb",T2V4C7,"Beautifully renovated, immaculate, 4 bedroom executive home in sought after Pump Hill. Many unique architectural details in this custom home. Luxurious upgrades include kitchen, bathrooms and flooring. Gourmet kitchen with extended height rich wood cabinetry, granite, top of the line appliances, walk-in pantry and breakfast bar. Spacious living room with 10 ft. open beam ceiling and dramatic stone faced fireplace. Family sized dining room with hardwood floors. Huge family room with vaulted ceiling, built-ins and cozy gas fireplace. Laundry, powder room and main floor office are conveniently located off the back entry. The 4 bedrooms up are all a good size including the king size master with huge walk-in closet and spaÃ‚Â¬-like en-suite with steam shower and heated floors. The lower level is completely developed and includes a media room with wet bar, a charming wine cellar plus a 3 piece bath with sauna, change room and hot tub. Situated on a large private park-like lot with a 2 tiered deck. Close to schools, transit, shopping, Southland Leisure Centre & easy access to downtown",949900,2630,4,4,12-Jan-18,1974,PumpHill,Residential,Southwest Calgary,19.60ft x 0.00ft
"28 Copperpond Rise SE, Calgary, Calgary, Alb",T2Z5B9,"Welcome to a stunning home: The layout is grand here&could fit your family's needs! South facing, beautiful natural light throughout!At the South entrance, you can BBQ&entertain, as you are facing detached homes, not more townhouses! Inside: a well kept interior with open & large kitchen, beautifully finished. The clients opted for no island, but extra counter space so that they can accommodate LARGE family gatherings!Such a flexible space...change your concept with the seasons! Upstairs 2 kids bedrooms & a bath with soaker tub& shower head. Also space here for a small ""bills desk""...we ALL NEED one! The master is in front of the house and presents to you a well equipped walking closet&private 4-piece ensuite! The basement is FRESHLY done with all City Permits. Metallic funky paint and a LARGE space to use as you wish. The owners have family& game time here or grownup space, a GYM & PLAY area for kids. NATURAL South light is completing this space! Come & enjoy your 2car TRUCK parking.. Ready to move in! PERMITS  were obtained for the basement development. The PARKING can fit 2 LARGE TRUCKS With room to move!",334900,1174,3,2,18-Jan-18,2014,Copperfield,Residential,Southeast Calgary,19.60ft x 0.00ft
"3774 DOUGLAS RIDGE LINK SE, Calgary, Alb",T2Z3H7,"Welcome to the desirable community of Douglasdale! Live in this familyÃ‚Â_oriented 2 storey home close to grocery stores, restaurants, great schools, public transit, Deer Foot Trail, Stoney Trail a short walk to Fish Creek and Bow river pathways. The inviting main floor, with laminate flooring and new lighting features an open plan with a spacious living and dining area. The kitchen has a pantry, breakfast bar and island perfect to accommodate a crowd. The laundry is conveniently located on the main floor. The second floor boasts a master bedroom with walkÃ‚Â_in closet and 4 pc enÃ‚Â_suite; there are also 2 more bedrooms and a 4 pc bath. The full basement is partially finished (roughed in bathroom, bedroom & family room) and the Seller is including the drywall which was purchased to complete the job. The shingles were installed in 2015 (with warranty) and the furnace and water heater were replaced in 2016. New baseboards have been installed, walls washed and the house is sparkling clean. Come and see for yourself! The fenced yard is ready for entertaining on the outdoor patio.",427900,720,3,2,11-Jan-18,1997,Douglasdale,Residential,Southeast Calgary,19.60ft x 0.00ft
"175 Whiteridge Pl NE, Calgary, Alb",T1Y4K2,Great starter home in Whitehorn: close to all amenities and LRT station. This is an amazing opportunity for a first time homebuyer or investor! This 3-bedroom attached home is located on a quiet cul-de-sac. Fresh paint throughout this cozy home that's been lovingly cared for; new carpet on the upper level and a spacious basement is awaiting your development! Newer furnace and hot water tank. The back yard is large and can serve many of your outdoor needs: from play-space for children to summer BBQ block party...,274900,1044,3,1,10-Jan-18,1978,Whitehorn,Residential,Northeast Calgary,19.60ft x 0.00ft
"209 Arbour Cliff Close NW, Calgary, Alb",T3G3W7,"FANTASTIC VILLA situated perfectly in the Lake Community of Arbour Lake. Enjoy stress free living with no Condo fees but all of the Amenities of the Home Owners Association fee for outdoor maintenance. Pride of Ownership shows in this Home with large Open Living space, vaulted ceiling in Living Room, spacious sitting area, and generous Kitchen with room for kitchen Table, gas is plumbed in for future gas stove if desired and even a formal Dining area if you would like! New Triple Pane Windows in 2012, 4pc Bath, for Guest Bedroom with direct access to back deck, Generous Master Bath with loads of closet space & private 4pc Ensuite. Main floor Laundry is sure to please as well! New Carpet leads you down to a Fully Finished Lower level with FRESH PAINT, huge Recreation Room and ANOTHER full 3pc Bathroom, Den, and Workshop for the Hobbyist with Bench and sink. Furnace from 2009 and serviced 2x a year.",369900,1047,2,3,10-Jan-18,1978,ArbourLake,Residential,Northwest Calgary,19.60ft x 0.00ft
"100 SILVERADO SKIES MANOR SW, Calgary, Alb",T2X0K2,"Welcome to your beautiful and spacious new home in a great location in Silverado, a unique house for this area with a fully selfÃ‚Â_ contained basement suite (illegal), including all separate high Ã‚Â_end appliances and convenient inÃ‚Â_ floor heating. Entering the house, you find yourself at the foot of a breathtaking grand staircase. Moving further in, you walk past a niceÃ‚Â_ sized den/office and enter the open concept kitchen, living and dining rooms. The 9' ceilings and large windows allow for plenty of natural light to come into this bright and spacious living area. The kitchen features beautiful granite counters with a sizeable island and eating bar. The highÃ‚Â_ end stainless steel appliances, tall cabinets and walkÃ‚Â_ through pantry make this kitchen a must have. Upstairs, you find a huge bonus room and a sizeable master bedroom with a splendid 5pc ensuite and walk Ã‚Â_in closet. There are 2 other goodÃ‚Â_ sized bedrooms and a 4 pc bath here as well.Your low Ã‚Â_maintenance backyard looks out on a huge green space.",569000,1186,4,3,11-Jan-18,2010,Silverado,Residential,Southwest Calgary,19.60ft x 0.00ft
"81 Legacy Blvd SE, Calgary, Alb",T2X2B9,"This brand new 2 bed + den condo is located on the top floor and offers unobstructed views of the Rocky Mountains from it's oversized West facing balcony. The spacious kitchen consists of S/S appliances, granite countertops, upgraded soft close cabinets, tiled backsplashes and a sit-up bar that overlooks the large living room and separate dining area. The master bedroom offers a walk-through closet and a 3pc ensuite with a huge shower and water pik showerhead. Completing this well thought out floor plan is a 2nd bedroom, 4pc bath with a deep soaker tub, in-suite laundry and a good sized den/office area. Additional bonuses include 1 titled underground parking stall with lots of visitor parking plus all window coverings, upgraded light fixtures and carpet. Legacy Gate is located close to future schools (2018), parks, shopping, city transit and easy access to main roadways.",228900,742,2,2,17-Jan-18,2016,Legacy,Residential,Southeast Calgary,19.60ft x 0.00ft
"201 BRAEGLEN CLOSE SW, Calgary, Alb",T2W2B1,"Welcome to well cared for home that fells like home.. Numerous upgrades including furnace, flooring, kitchen cabinetry, kitchen sink and appliances. Large living room, perfect for entertaining guests and everyone can Enjoy a Comfortable and welcoming balcony. The upgraded three Ã‚Â_piece bath includes and oversized shower. The complex has secure gate entrance. Schools, playground, Shopping, the Southland Leisure center all within walking distance. Close Glenmore Park and dog walking park. This unit has also been upgraded with 220 wiring. The two assigned parking stalls are conveniently located. Measurements are taken and comply with the Registered Measurements Standards as such the size does not include the balcony or storage locker.",240000,1016,2,1,08-Jan-18,1972,Braeside,Townhouse,Southwest Calgary,19.60ft x 0.00ft
"9 TARALEA CIRCLE NE, Calgary, Alb",T3J5G6,"Fully finished biÃ‚Â_level in the desirable N.E. community of Taradale! Double detached garage. Total 3 bedrooms! 2 bedrooms and a 4 pc bathroom on the main floor and 1 bedroom and 3 piece bathroom in basement. Master bedroom features large walkÃ‚Â_ n closet. This home shows nicely with new wood laminate flooring. Main floor is sunny with large windows. There is a washer and dryer in the illegal basement suite and another stacked washer and dryer in the stairwell between floors. Both floors have spacious open kitchen/family rooms. Close to schools, shopping and public transportation. 15 minute walk and 5 minute drive to Genesis Health Centre. Call realtor today!",359900,803,3,2,10-Jan-18,2004,Taradale,Residential,Northeast Calgary,19.60ft x 0.00ft
"27 SILVER SPRINGS DRIVE NW, Calgary, Alb",T3B4N3,"This townhouse unit has all the ""mustÃ‚Â_ haves"", including hardwood and slate throughout, vaulted ceiling in the living room, a designer kitchen,2 large bedrooms, and a fully developed basement/large room with attached 3 piece bath.The designer kitchen boasts granite countertops, walnut cabinets, stainless steel appliances, a walk in pantry, an eating bar and a builtÃ‚Â_in wine fridge.With over 1,400 sq ft of living space, this 2 bedroom 2 1/2 bath townhouse also features custom slate floor in the foyer, iron railings, updated lighting, and beautiful tile work in bathrooms/kitchen.Upper level has a very large master bedroom with his/hers closets, a separate entrance to the 4 pce bath as well as another very large bedroom and laundry.Park your car in your oversized single garage with a workspace containing a workbench and cupboards for lots of storage or use the transit that is minutes away. Do not miss out on this incredible property in a beautiful desirable neighbourhood close to all amenities.",412000,730,2,2,12-Jan-18,1976,SilverSprings,Townhouse,Northwest Calgary,19.60ft x 0.00ft
"30 MCHUGH COURT NE, Calgary, Alb",T2E7X3,"Do not miss out on this beautiful 2 bedroom 1 bath condo with over 840 sq. feet of living space in one of best kept buildings in the city. Nice tile, upgraded, beautiful laminate flooring, and a bright open plan make this two bedroom unit one of the best deals in The North Mayland Heights complex. This unit comes with insuite laundry, a bright white kitchen with a tile backsplash, two good sized bedrooms and a large bright living room. Beautiful large trees provide privacy as you sit on your large NE facing deck and drink your morning coffee. There is the convenience of the garbage shute being right next door as well as the units storage locker just two doors down. Mayland Heights Complex also has a Fitness room including sauna, recreation room, a common laundry facility, and an elevator. The building is located close to 16th ave, shopping centres, transit and minutes from the downtown. A great condo in a very wonderful neighborhood.",199900,850,2,1,22-Dec-17,1981,Mayland,Apartment,Northeast Calgary,19.60ft x 0.00ft
"2003 117 Ave SW, Calgary, Alb",T2E7X3,"Open House Dec 23/17 12:30 - 3:30 pm. Come and see in time for Christmas! Wow, this house is stunning. Completely renovated, top to bottom, inside and outside. PLUS: Rezoned (RC- 1S) for a Legal conforming suite in Basement. Oversized 65 ft wide lot. 5 bedrooms in total. New: shingles, soffit, fasia & gutters, new house wrap, Siding and Smart Trim, new PT deck & fence. All new inside, gourmet kitchen with 5 Stainless Steel appliances, huge island, quartz counter-tops, new flooring throughout, 3 full baths, en-suite has double sinks and beautiful walk in shower. 1593 sq ft of living space. Gorgeous 2 bedroom suite down, with open kitchen & 4 appliances, plus pantry. 2 Washers & 2 Dryers one set on each level. 2 HE furnaces, 1- 80 gallon Hot water tank. Basement was wired with itÃ¢Â€Â™s own electrical panel New paint thru out, all new trim & baseboards, knock down ceilings. Stunning light fixtures. Call for a private showing, feels like a brand new home in a well established neighbourhood.",669900,1593,5,3,19-Dec-17,1977,Woodlands,Residential,Southwest Calgary,20.00m x 0.00m
"90 CARRINGVUE DRIVE NW, Calgary, Alb",T3P0W4,"Located in the NW community of Carrington, this is the 2017 Calgary Stampede Lottery Dream Home. With over 3200 square feet of developed living space, you are certain to find rooms to fulfill all your needs. Upon entering this exquisite residence, you are greeted by a spacious open concept floor plan which includes a large, fully equipped kitchen with all the modern luxuries you would expect from a dream home. Plentiful, large windows and white oak flooring throughout provides an abundantly bright and cheerful living room and dining area. A 2 pc bath, thoughtfully designed mudroom, and conveniently located craft room are found next to the entrance from the 2 car garage. Upstairs you will find the large, beautifully designed master bedroom alongside its luxurious 6 pc ensuite bathroom and large walkÃ‚Â_in closet. 2 other bedrooms, a 4 pc bath, and a large laundry room accompany the bonus room and wet bar. The basement features a 4th bedroom and 4 pc bath alongside the recreation room and 2nd wet bar. Call now! Additional Features General Ã¢Â€Â¢ Security System with Monitor Ã¢Â€Â¢ Radon Gas Discharge Pipe Ã¢Â€Â¢ WiÃ‚Â_Fi Thermostat Ã¢Â€Â¢ 4.4 Cubic Foot Bar Fridge Ã¢Â€Â¢ 4.8 Cubic Foot Beverage Cellar Ã¢Â€Â¢ 2 Large Flat Screen T.V.Ã¢Â€Â™s Master Bedroom Ã¢Â€Â¢ Engineered White Oak Ceiling Ensuite Ã¢Â€Â¢ His & Her Ensuite Sink Ã¢Â€Â¢ 4 Outlet Ensuite Shower with Ceiling Mount, Twist Hand, and Halo Shower Heads along with 2 Mosaic Square Body Sprays Ã¢Â€Â¢ WalkÃ‚Â_In Closet Kitchen Ã¢Â€Â¢ Fully Integrated Console Energy Star Dishwasher Ã¢Â€Â¢ Combination BuiltÃ‚Â_ In Microwave & Wall Oven with True Convection Ã¢Â€Â¢ 5 Element TouchÃ‚Â_Activated Electronic Induction Cooktop Ã¢Â€Â¢ Digital Wall Mount Canopy Range Hood Laundry Room Ã¢Â€Â¢ 5.2 Cubic Foot High Efficiency Front Load Washing Machine Ã¢Â€Â¢ 7.4 Cubic Foot High Efficiency Front Load Electric Dryer",808800,2582,4,3,18-Dec-17,2017,ConventryHills,Residential,Northwest Calgary,20.00m x 0.00m
"22 TUSCANY RIDGE HT NW, Calgary, Alb",T3P0W4,"*OPEN HOUSE - SAT, JAN 20th 2-4pm* Charming inside & out this 3-bed, 2.5-bath family home in Tuscany is close to parks, playground, schools & the LRT park/ride.1300+ sqft of well-kept living space features hardwood floors & plush carpet throughout. Offering a bright open layout w/ a rear living/dining rooms warmed by a gas fireplace. Kitchen features large corner pantry, eating bar, built-in desk, tons of storage & direct access to rear deck/backyard. Upper level w/ 3 bdrms & 4-piece bath with cheater access to the master bdrm and full sized side-by-side laundry. Fully developed lower level w/ large rec room, 4th bdrm, 3-piece bath & storage. Fully-fenced & landscaped North-facing backyard w/ large deck - replaced in 2015. Upgrades were performed by a licensed professional on the property's water system including water softener & hot water tank. Approx $60,000 in upgrades were done to the property in the past few years. See Listing Agent's website for full details. (id:1937)",475000,1312,4,3,11-Jan-18,2003,ConventryHills,Singlefamily,Northwest Calgary,20.00m x 0.00m
"545 AUBURN BAY AV SE, Calgary, Alb",T3P0W4,"(OPEN HOUSE SAT JAN 20, 12-2:30PM) LARGE SEMI-DETACHED HOME! ~1300 SQ FT PLUS FULL BSMT! Fantastic opportunity in the vibrant community of Auburn Bay! This property is magnificent and offers wonderfully upgraded fixtures, extra square footage and builder constructed double garage! Clean and meticulously maintained, this gorgeous open concept floor plan features hardwood flooring, stainless appliances, quartz countertops & an entire additional wall of cabinets.  South backyard w/ oversized deck. This home is sun filled & bright. Large master bedroom includes 4pc ensuite and walk in closet. Two spacious kids bedrooms as well. The undeveloped bsmt is perfectly laid out and waiting to be finished! A COMMUTERS DREAM, you are a quick walk to the park n ride, walking distance to pubs, restaurants and groceries with easy access to major routes. Low maintenance landscape. K-4 and K-9 Catholic schools are open! VERY QUICK CLOSING AVAILABLE! EXTERIOR ASSUMED MEASUREMENT 1410 SQ FT. (id:1937)",408800,1297,3,3,14-Jan-18,2012,ConventryHills,Singlefamily,Southeast Calgary,20.00m x 0.00m
"31 Country Village Manor NE, Calgary, Alb",T3K0T3,"Welcome home to this well situated, first floor, corner unit in Lighthouse Landing. Originally built by Cardel Lifestyles this 2 bedroom, 2 bathroom unit is ideal for first time home buyers or investors. With generous room sizes this corner end unit offers great natural light exposure and excellent privacy. Numerous upgrades compared to similar units include: hardwood floors, berber carpet, kitchen pot drawers, Hunter Douglas blinds, gas line for BBQ, full wiring for Internet and additional phone/cable jacks. This end-of-hallway unit offers both privacy as well as convenience to the parkade staircase. Condo fees include gas, sewage, and water. Titled underground heated parking is also included. Extremely pet friendly (all sizes), with current Board having very few restrictions. Walking distance to all amenities including a community pond, VIVO, SuperStore and Calgary Transit.",239900,877,2,2,09-Jan-18,2007,CountryHillsVillage,Apartment,Northwest Calgary,20.00m x 0.00m
"26 Somerside Place SW, Calgary, Alb",T2Y3V3,"This is an excellent opportunity listed far below assessment value. This very well located house in a cul-de-sac with a fully finished walk out basement and private backyard with detached double garage. Price much lower cause the house needs some TLC due to wear and tear by bad tenants. This house will come with a new roof installed in spring already been paid for by the owners.  The front entrance, kitchen and dining areas have ceramic tile, there is a two sided fire place, oak cabinets, and a den on the main level, and deck off the eating area. An added bonus is the fully developed walk out basement (with small kitchen) - perfect for rental income or an illegal in-law suite. The upper kitchen comes with brand new fridge and newer stove. The upper floor has master with 4- piece on suite bathroom and two more bedrooms with another 4 piece bathroom.  Close to the Somerset Water Park, shops, transit and tennis courts this home has it all.",398888,1488,5,3,15-Jan-18,1999,Somerset,Residential,Southwest Calgary,403.00m x 0.00m
"495 78 Ave SW, Calgary, Alb",T2V5K5,"First time on the market: this 2 bedroom + den condo in the desirable Stratfrod on the Park!! Listed by its original owners, this apartment home has been well maintained and shows great. 2 spacious bedrooms with 2 full baths and den, kitchen with ample cupboard space and a living room with gas fireplace complement each other to create a perfect living space at this amazing adult-only building. Backing onto the green space and conveniently located close to LRT, shopping and other inner-city amenities this condo makes a perfect home for a first-time buyer and a great investment. The apartments in this building don't come on the market very often, so book your showing today to take advantage of this great opportunity.",326000,1248,2,2,10-Jan-18,2000,Kingsland,Residential,Southwest Calgary,403.00m x 0.00m
"71 Chisholm Cres NW, Calgary, Alb",T2L0Y9,"This gorgeous 4 bed bungalow has been extensively renovated and is located on a quiet crescent in the highly sought after community of Charleswood. The main floor consists of hardwood floors, a vaulted open beam ceiling, plus brand new doors and windows through-out. The spacious kitchen has been completing upgraded with new cabinets, a large center island and is conveniently located next to the separate dining area. Three bedrooms and a remodelled 4pc bath complete the main level. Downstairs you will find an oversized family room, 4th bedroom, plus a 3pc bath and huge hobby room (that could easily be converted into a second kitchen). Additional bonuses include: New shingles, exterior siding with foil bubble insulation, soffits and tin cladding. Out back you will find an oversized Triple detached garage (36'x22') plus a front drive carport and large driveway for additional parking. Located close to schools, shops, city transit and easy access to main roadways.",679900,1248,4,2,03-Jan-18,1959,Charleswood,Residential,Northwest Calgary,16.50m x 30.40m
"104 Pump Hill Dr SW, Calgary, Alb",T2V4C7,"Beautifully renovated, immaculate, 4 bedroom executive home in sought after Pump Hill. Many unique architectural details in this custom home. Luxurious upgrades include kitchen, bathrooms and flooring. Gourmet kitchen with extended height rich wood cabinetry, granite, top of the line appliances, walk-in pantry and breakfast bar. Spacious living room with 10 ft. open beam ceiling and dramatic stone faced fireplace. Family sized dining room with hardwood floors. Huge family room with vaulted ceiling, built-ins and cozy gas fireplace. Laundry, powder room and main floor office are conveniently located off the back entry. The 4 bedrooms up are all a good size including the king size master with huge walk-in closet and spaÃ‚Â¬-like en-suite with steam shower and heated floors. The lower level is completely developed and includes a media room with wet bar, a charming wine cellar plus a 3 piece bath with sauna, change room and hot tub. Situated on a large private park-like lot with a 2 tiered deck. Close to schools, transit, shopping, Southland Leisure Centre & easy access to downtown",949900,2630,4,4,12-Jan-18,1974,PumpHill,Residential,Southwest Calgary,19.60ft x 0.00ft
"104 Pump Hill Dr SW, Calgary, Alb",T2V4C7,"Beautifully renovated, immaculate, 4 bedroom executive home in sought after Pump Hill. Many unique architectural details in this custom home. Luxurious upgrades include kitchen, bathrooms and flooring. Gourmet kitchen with extended height rich wood cabinetry, granite, top of the line appliances, walk-in pantry and breakfast bar. Spacious living room with 10 ft. open beam ceiling and dramatic stone faced fireplace. Family sized dining room with hardwood floors. Huge family room with vaulted ceiling, built-ins and cozy gas fireplace. Laundry, powder room and main floor office are conveniently located off the back entry. The 4 bedrooms up are all a good size including the king size master with huge walk-in closet and spaÃ‚Â¬-like en-suite with steam shower and heated floors. The lower level is completely developed and includes a media room with wet bar, a charming wine cellar plus a 3 piece bath with sauna, change room and hot tub. Situated on a large private park-like lot with a 2 tiered deck. Close to schools, transit, shopping, Southland Leisure Centre & easy access to downtown",949900,2630,4,4,12-Jan-18,1974,PumpHill,Residential,Southwest Calgary,19.60ft x 0.00ft
"28 Copperpond Rise SE, Calgary, Calgary, Alb",T2Z5B9,"Welcome to a stunning home: The layout is grand here&could fit your family's needs! South facing, beautiful natural light throughout!At the South entrance, you can BBQ&entertain, as you are facing detached homes, not more townhouses! Inside: a well kept interior with open & large kitchen, beautifully finished. The clients opted for no island, but extra counter space so that they can accommodate LARGE family gatherings!Such a flexible space...change your concept with the seasons! Upstairs 2 kids bedrooms & a bath with soaker tub& shower head. Also space here for a small ""bills desk""...we ALL NEED one! The master is in front of the house and presents to you a well equipped walking closet&private 4-piece ensuite! The basement is FRESHLY done with all City Permits. Metallic funky paint and a LARGE space to use as you wish. The owners have family& game time here or grownup space, a GYM & PLAY area for kids. NATURAL South light is completing this space! Come & enjoy your 2car TRUCK parking.. Ready to move in! PERMITS  were obtained for the basement development. The PARKING can fit 2 LARGE TRUCKS With room to move!",334900,1174,3,2,18-Jan-18,2014,Copperfield,Residential,Southeast Calgary,19.60ft x 0.00ft
"3774 DOUGLAS RIDGE LINK SE, Calgary, Alb",T2Z3H7,"Welcome to the desirable community of Douglasdale! Live in this familyÃ‚Â_oriented 2 storey home close to grocery stores, restaurants, great schools, public transit, Deer Foot Trail, Stoney Trail a short walk to Fish Creek and Bow river pathways. The inviting main floor, with laminate flooring and new lighting features an open plan with a spacious living and dining area. The kitchen has a pantry, breakfast bar and island perfect to accommodate a crowd. The laundry is conveniently located on the main floor. The second floor boasts a master bedroom with walkÃ‚Â_in closet and 4 pc enÃ‚Â_suite; there are also 2 more bedrooms and a 4 pc bath. The full basement is partially finished (roughed in bathroom, bedroom & family room) and the Seller is including the drywall which was purchased to complete the job. The shingles were installed in 2015 (with warranty) and the furnace and water heater were replaced in 2016. New baseboards have been installed, walls washed and the house is sparkling clean. Come and see for yourself! The fenced yard is ready for entertaining on the outdoor patio.",427900,720,3,2,11-Jan-18,1997,Douglasdale,Residential,Southeast Calgary,19.60ft x 0.00ft
"175 Whiteridge Pl NE, Calgary, Alb",T1Y4K2,Great starter home in Whitehorn: close to all amenities and LRT station. This is an amazing opportunity for a first time homebuyer or investor! This 3-bedroom attached home is located on a quiet cul-de-sac. Fresh paint throughout this cozy home that's been lovingly cared for; new carpet on the upper level and a spacious basement is awaiting your development! Newer furnace and hot water tank. The back yard is large and can serve many of your outdoor needs: from play-space for children to summer BBQ block party...,274900,1044,3,1,10-Jan-18,1978,Whitehorn,Residential,Northeast Calgary,19.60ft x 0.00ft
"209 Arbour Cliff Close NW, Calgary, Alb",T3G3W7,"FANTASTIC VILLA situated perfectly in the Lake Community of Arbour Lake. Enjoy stress free living with no Condo fees but all of the Amenities of the Home Owners Association fee for outdoor maintenance. Pride of Ownership shows in this Home with large Open Living space, vaulted ceiling in Living Room, spacious sitting area, and generous Kitchen with room for kitchen Table, gas is plumbed in for future gas stove if desired and even a formal Dining area if you would like! New Triple Pane Windows in 2012, 4pc Bath, for Guest Bedroom with direct access to back deck, Generous Master Bath with loads of closet space & private 4pc Ensuite. Main floor Laundry is sure to please as well! New Carpet leads you down to a Fully Finished Lower level with FRESH PAINT, huge Recreation Room and ANOTHER full 3pc Bathroom, Den, and Workshop for the Hobbyist with Bench and sink. Furnace from 2009 and serviced 2x a year.",369900,1047,2,3,10-Jan-18,1978,ArbourLake,Residential,Northwest Calgary,19.60ft x 0.00ft
"100 SILVERADO SKIES MANOR SW, Calgary, Alb",T2X0K2,"Welcome to your beautiful and spacious new home in a great location in Silverado, a unique house for this area with a fully selfÃ‚Â_ contained basement suite (illegal), including all separate high Ã‚Â_end appliances and convenient inÃ‚Â_ floor heating. Entering the house, you find yourself at the foot of a breathtaking grand staircase. Moving further in, you walk past a niceÃ‚Â_ sized den/office and enter the open concept kitchen, living and dining rooms. The 9' ceilings and large windows allow for plenty of natural light to come into this bright and spacious living area. The kitchen features beautiful granite counters with a sizeable island and eating bar. The highÃ‚Â_ end stainless steel appliances, tall cabinets and walkÃ‚Â_ through pantry make this kitchen a must have. Upstairs, you find a huge bonus room and a sizeable master bedroom with a splendid 5pc ensuite and walk Ã‚Â_in closet. There are 2 other goodÃ‚Â_ sized bedrooms and a 4 pc bath here as well.Your low Ã‚Â_maintenance backyard looks out on a huge green space.",569000,1186,4,3,11-Jan-18,2010,Silverado,Residential,Southwest Calgary,19.60ft x 0.00ft
"81 Legacy Blvd SE, Calgary, Alb",T2X2B9,"This brand new 2 bed + den condo is located on the top floor and offers unobstructed views of the Rocky Mountains from it's oversized West facing balcony. The spacious kitchen consists of S/S appliances, granite countertops, upgraded soft close cabinets, tiled backsplashes and a sit-up bar that overlooks the large living room and separate dining area. The master bedroom offers a walk-through closet and a 3pc ensuite with a huge shower and water pik showerhead. Completing this well thought out floor plan is a 2nd bedroom, 4pc bath with a deep soaker tub, in-suite laundry and a good sized den/office area. Additional bonuses include 1 titled underground parking stall with lots of visitor parking plus all window coverings, upgraded light fixtures and carpet. Legacy Gate is located close to future schools (2018), parks, shopping, city transit and easy access to main roadways.",228900,742,2,2,17-Jan-18,2016,Legacy,Residential,Southeast Calgary,19.60ft x 0.00ft
